query,label
Tạo cho tôi 10 câu hỏi về lịch sử Việt Nam,0
Sinh câu hỏi trắc nghiệm môn toán lớp 9,0
Cho tôi vài câu hỏi về khoa học,0
Làm câu hỏi kiểm tra kiến thức tiếng Anh,0
Tạo câu hỏi phỏng vấn cho vị trí lập trình viên,0
Sinh 5 câu hỏi về văn học Việt Nam,0
Đưa ra câu hỏi về địa lý thế giới,0
Tạo câu hỏi thi thử THPT quốc gia môn hóa,0
Cho tôi câu hỏi về kinh tế vĩ mô,0
Sinh câu hỏi ôn tập môn sinh học,0
Đánh giá câu trả lời của học sinh,1
Kiểm tra câu trả lời này có đúng không,1
Chấm điểm câu trả lời,1
Xem câu trả lời này được bao nhiêu điểm,1
Đánh giá độ chính xác của câu trả lời,1
Kiểm tra xem em trả lời đúng chưa,1
Chấm bài làm của học sinh,1
Review câu trả lời này giúp tôi,1
Câu trả lời này có chính xác không,1
Đánh giá mức độ hoàn thiện của câu trả lời,1
Hôm nay thời tiết thế nào,2
Đặt báo thức 7 giờ sáng,2
Tìm kiếm nhà hàng gần đây,2
Dịch câu này sang tiếng Anh,2
Tóm tắt văn bản này,2
Giải thích khái niệm này cho tôi,2
Kể cho tôi nghe một câu chuyện,2
Gợi ý món ăn cho bữa tối,2
Tính toán kết quả của phép tính này,2
Viết một bài văn về mùa xuân,2
Hãy tạo câu hỏi về chiến tranh thế giới thứ 2,0
Cho tôi một số câu hỏi liên quan đến marketing,0
Sinh câu hỏi kiểm tra về lập trình Python,0
Tạo câu hỏi trắc nghiệm môn vật lý,0
Đưa ra câu hỏi phỏng vấn cho vị trí marketing,0
Làm câu hỏi về âm nhạc cổ điển,0
Tạo 3 câu hỏi về môi trường,0
Sinh câu hỏi thi cuối kỳ môn triết học,0
Cho tôi câu hỏi về nghệ thuật đương đại,0
Tạo câu hỏi ôn thi đại học môn lý,0
Xem câu trả lời của em đúng không,1
Đánh giá bài làm này,1
Kiểm tra độ chính xác,1
Chấm câu trả lời giúp tôi,1
Review câu trả lời xem được mấy điểm,1
Đánh giá xem trả lời có logic không,1
Kiểm tra câu trả lời có phù hợp không,1
Chấm bài kiểm tra này,1
Xem câu trả lời này có hay không,1
Đánh giá chất lượng câu trả lời,1
Bật đèn phòng khách,2
Tìm kiếm video về du lịch,2
Đặt lịch hẹn ngày mai,2
Gửi tin nhắn cho mẹ,2
Phát nhạc Sơn Tùng MTP,2
Tìm đường đến sân bay,2
Tra cứu giá vàng hôm nay,2
Kiểm tra số dư tài khoản,2
Đặt vé máy bay đi Đà Nẵng,2
Tìm công thức nấu phở,2
Hãy tạo cho tôi các câu hỏi về công nghệ blockchain,0
Sinh câu hỏi kiểm tra về kỹ năng giao tiếp,0
Cho tôi câu hỏi về quản trị doanh nghiệp,0
Tạo câu hỏi trắc nghiệm môn địa lý,0
Đưa ra câu hỏi về tâm lý học,0
Làm câu hỏi kiểm tra tiếng Nhật,0
Tạo câu hỏi về an ninh mạng,0
Sinh câu hỏi thi giữa kỳ môn kinh tế,0
Cho tôi câu hỏi về thể thao,0
Tạo câu hỏi ôn tập về hóa hữu cơ,0
Kiểm tra xem câu trả lời này có sai sót gì không,1
Đánh giá câu trả lời về mặt nội dung,1
Chấm điểm bài làm này giúp tôi,1
Xem câu trả lời có đầy đủ không,1
Review độ chính xác của câu trả lời,1
Đánh giá xem trả lời có đúng trọng tâm không,1
Kiểm tra câu trả lời có thiếu sót gì không,1
Chấm bài tập về nhà này,1
Xem câu trả lời này có logic không,1
Đánh giá mức độ chi tiết của câu trả lời,1
Mở ứng dụng Facebook,2
Tìm kiếm khách sạn ở Hà Nội,2
Đặt báo thức 6h30,2
Gọi điện cho bố,2
Phát podcast về khởi nghiệp,2
Chỉ đường đến bệnh viện,2
Tra cứu tỷ giá USD,2
Kiểm tra email mới,2
Đặt bàn nhà hàng 4 người,2
Tìm công thức làm bánh,2
Tạo ra câu hỏi về trí tuệ nhân tạo,0
Sinh câu hỏi kiểm tra môn lịch sử thế giới,0
Cho tôi câu hỏi về kiến trúc,0
Tạo câu hỏi trắc nghiệm tiếng Trung,0
Đưa ra câu hỏi về y học,0
Làm câu hỏi về nhiếp ảnh,0
Tạo câu hỏi về luật pháp Việt Nam,0
Sinh câu hỏi thi Olympic toán,0
Cho tôi câu hỏi về thiên văn học,0
Tạo câu hỏi ôn tập môn sinh học 12,0
Đánh giá câu trả lời có chuyên nghiệp không,1
Kiểm tra câu trả lời có đạt yêu cầu không,1
Chấm điểm và nhận xét bài làm,1
Xem câu trả lời này được bao nhiêu phần trăm,1
Review câu trả lời về mặt hình thức,1
Đánh giá xem câu trả lời có sáng tạo không,1
Kiểm tra câu trả lời có dễ hiểu không,1
Chấm bài kiểm tra 15 phút,1
Xem câu trả lời này có ấn tượng không,1
Đánh giá tính thuyết phục của câu trả lời,1
Tắt điều hòa,2
Tìm phim hay trên Netflix,2
Đặt hẹn gặp bác sĩ,2
