query,label,label_text
Tạo cho tôi 10 câu hỏi về lịch sử Việt Nam,0,hỏi
Sinh câu hỏi trắc nghiệm môn toán lớp 9,0,hỏi
Cho tôi vài câu hỏi về khoa học,0,hỏi
Làm câu hỏi kiểm tra kiến thức tiếng Anh,0,hỏi
Tạo câu hỏi phỏng vấn cho vị trí lập trình viên,0,hỏi
Sinh 5 câu hỏi về văn học Việt Nam,0,hỏi
Đưa ra câu hỏi về địa lý thế giới,0,hỏi
Tạo câu hỏi thi thử THPT quốc gia môn hóa,0,hỏi
Cho tôi câu hỏi về kinh tế vĩ mô,0,hỏi
Sinh câu hỏi ôn tập môn sinh học,0,hỏi
Đánh giá câu trả lời của học sinh,1,trả lời
Kiểm tra câu trả lời này có đúng không,1,trả lời
Chấm điểm câu trả lời,1,trả lời
Xem câu trả lời này được bao nhiêu điểm,1,trả lời
Đánh giá độ chính xác của câu trả lời,1,trả lời
Kiểm tra xem em trả lời đúng chưa,1,trả lời
Chấm bài làm của học sinh,1,trả lời
Review câu trả lời này giúp tôi,1,trả lời
Câu trả lời này có chính xác không,1,trả lời
Đánh giá mức độ hoàn thiện của câu trả lời,1,trả lời
Hôm nay thời tiết thế nào,2,khác
Đặt báo thức 7 giờ sáng,2,khác
Tìm kiếm nhà hàng gần đây,2,khác
Dịch câu này sang tiếng Anh,2,khác
Tóm tắt văn bản này,2,khác
Giải thích khái niệm này cho tôi,2,khác
Kể cho tôi nghe một câu chuyện,2,khác
Gợi ý món ăn cho bữa tối,2,khác
Tính toán kết quả của phép tính này,2,khác
Viết một bài văn về mùa xuân,2,khác
Hãy tạo câu hỏi về chiến tranh thế giới thứ 2,0,hỏi
Cho tôi một số câu hỏi liên quan đến marketing,0,hỏi
Sinh câu hỏi kiểm tra về lập trình Python,0,hỏi
Tạo câu hỏi trắc nghiệm môn vật lý,0,hỏi
Đưa ra câu hỏi phỏng vấn cho vị trí marketing,0,hỏi
Làm câu hỏi về âm nhạc cổ điển,0,hỏi
Tạo 3 câu hỏi về môi trường,0,hỏi
Sinh câu hỏi thi cuối kỳ môn triết học,0,hỏi
Cho tôi câu hỏi về nghệ thuật đương đại,0,hỏi
Tạo câu hỏi ôn thi đại học môn lý,0,hỏi
Xem câu trả lời của em đúng không,1,trả lời
Đánh giá bài làm này,1,trả lời
Kiểm tra độ chính xác,1,trả lời
Chấm câu trả lời giúp tôi,1,trả lời
Review câu trả lời xem được mấy điểm,1,trả lời
Đánh giá xem trả lời có logic không,1,trả lời
Kiểm tra câu trả lời có phù hợp không,1,trả lời
Chấm bài kiểm tra này,1,trả lời
Xem câu trả lời này có hay không,1,trả lời
Đánh giá chất lượng câu trả lời,1,trả lời
Bật đèn phòng khách,2,khác
Tìm kiếm video về du lịch,2,khác
Đặt lịch hẹn ngày mai,2,khác
Gửi tin nhắn cho mẹ,2,khác
Phát nhạc Sơn Tùng MTP,2,khác
Tìm đường đến sân bay,2,khác
Tra cứu giá vàng hôm nay,2,khác
Kiểm tra số dư tài khoản,2,khác
Đặt vé máy bay đi Đà Nẵng,2,khác
Tìm công thức nấu phở,2,khác
Hãy tạo cho tôi các câu hỏi về công nghệ blockchain,0,hỏi
Sinh câu hỏi kiểm tra về kỹ năng giao tiếp,0,hỏi
Cho tôi câu hỏi về quản trị doanh nghiệp,0,hỏi
Tạo câu hỏi trắc nghiệm môn địa lý,0,hỏi
Đưa ra câu hỏi về tâm lý học,0,hỏi
Làm câu hỏi kiểm tra tiếng Nhật,0,hỏi
Tạo câu hỏi về an ninh mạng,0,hỏi
